basis_index,Re_J,Im_J,magnitude_J,phase_deg
40,-2.844515601309e-02,4.998154006436e-02,5.750896667316e-02,119.644777
41,-1.551731823925e-03,-2.695983223237e-02,2.700445195983e-02,-93.294149
42,-7.128755189367e-03,3.984100085683e-03,8.166529498059e-03,150.800162
43,3.850749356321e-03,-9.479812856019e-03,1.023206344734e-02,-67.892755
44,4.483227253430e-02,-8.427779046706e-03,4.561754180411e-02,-10.646478
45,-2.538311238484e-02,-2.045408222242e-02,3.259864834473e-02,-141.137626
46,1.166465663621e-02,-1.099961273493e-02,1.603295651959e-02,-43.319236
47,-1.290994141937e-02,1.069037733267e-02,1.676158569367e-02,140.372753
48,8.987877929099e-03,5.698343159879e-03,1.064204230569e-02,32.374827
49,-2.348655715131e-03,3.496989818123e-03,4.212495870179e-03,123.886183
50,-2.575848892818e-03,8.483733816051e-03,8.866156832598e-03,106.889448
51,7.090055843669e-03,3.357582445855e-03,7.844886981153e-03,25.340466
52,7.319523548254e-03,1.144586479627e-03,7.408475091596e-03,8.887620
53,2.834481449104e-02,-1.574607115936e-02,3.242479399298e-02,-29.052985
54,-4.243585151838e-03,-6.616682031206e-03,7.860565885672e-03,-122.673936
55,-5.272524153552e-03,-1.160718357617e-03,5.398775607070e-03,-167.584673
56,-4.978043094589e-05,6.700521808385e-03,6.700706723618e-03,90.425662
57,-4.769935782098e-04,-9.532328950598e-03,9.544255764389e-03,-92.864666
58,3.357874406766e-06,-7.051218163689e-03,7.051218963219e-03,-89.972715
59,-2.506339827394e-03,2.096400953023e-03,3.267512247294e-03,140.089567
60,3.654566176243e-03,6.843126172866e-03,7.757849557339e-03,61.895589
61,-6.741314039921e-03,1.394962017378e-02,1.549313454332e-02,115.792689
62,-3.266624236086e-04,7.051350224022e-03,7.058912686867e-03,92.652401
63,-1.524822202554e-02,-1.130619471142e-03,1.529008094578e-02,-175.759414
64,-2.485621370297e-04,1.854557513203e-03,1.871140482631e-03,97.633731
65,-3.428895768046e-03,-2.114532487861e-02,2.142153333471e-02,-99.210826
66,-4.007671339733e-03,-5.433027039995e-03,6.751237840918e-03,-126.414334
67,7.840545245637e-04,1.537017999161e-03,1.725446558788e-03,62.973231
68,8.676650020690e-03,3.020916840850e-03,9.187502062088e-03,19.196393
69,-1.059596996386e-03,-5.204968004791e-04,1.180534927082e-03,-153.838738
70,-6.112609550818e-03,3.153696479619e-03,6.878211759339e-03,152.709301
71,-8.154373015031e-03,-3.941951400602e-03,9.057194936235e-03,-154.200151
72,1.416242328469e-03,3.963585016644e-03,4.209008020557e-03,70.337507
73,3.712583928049e-02,4.410544201747e-02,5.765082790245e-02,49.910941
74,-2.749604476807e-04,1.355424113667e-02,1.355702976462e-02,91.162139
75,1.305679767740e-02,1.391812629476e-02,1.908387290739e-02,46.828874
76,-4.305667510656e-03,3.329884604406e-03,5.443060186235e-03,142.282621
77,1.065375796085e-03,-7.242232139297e-03,7.320174311199e-03,-81.631468
78,-1.131190518034e-03,5.279126786916e-03,5.398960235121e-03,102.094229
79,5.303858938524e-03,9.660275436886e-04,5.391115733772e-03,10.322513
80,6.479539147204e-03,1.331163509333e-03,6.614863857158e-03,11.609377
