element_index,cx,cy,cz,Re_J,Im_J,magnitude_J
2815,-8.303003872579e+01,-1.152765346538e+01,3.333333333333e+01,-4.834612189983e-02,2.281475982459e-02,5.345896340753e-02
2816,-8.317512118194e+01,-1.056765876418e+01,3.366666666667e+01,-1.285900300700e-01,5.545912543182e-02,1.400396744750e-01
2817,-8.498707503764e+01,-1.181277187152e+01,3.333333333333e+01,3.410062669377e-02,-6.223807829550e-02,7.096781757124e-02
2818,-8.166960495595e+01,-3.053964965931e+00,3.350000000000e+01,3.029357989107e+00,-2.029897985680e+01,2.052378115877e+01
2819,-8.216414493226e+01,-3.053964965931e+00,3.350000000000e+01,2.124394763098e+00,-1.415226381635e+01,1.431082192738e+01
2820,-8.191687494410e+01,-3.053964965931e+00,3.316666666667e+01,2.352768359706e+00,-2.027064501205e+01,2.040672850211e+01
2821,-8.191687494410e+01,-3.053964965931e+00,3.383333333333e+01,1.753034654333e+00,-1.429202332324e+01,1.439913404241e+01
2822,-8.159626680404e+01,-4.679201238681e+00,3.366666666667e+01,-9.718644674548e-02,-5.441964308643e-02,1.113853804800e-01
2823,-8.090475368175e+01,-6.304437511431e+00,3.333333333333e+01,9.922982466115e-04,-1.040123149544e-01,1.040170482084e-01
2824,-8.006440182052e+01,-6.149763375617e+00,3.366666666667e+01,-2.724294386632e-02,-9.283157774237e-02,9.674647185630e-02
2825,-8.080518589120e+01,-4.601864170774e+00,3.333333333333e+01,-1.030561353170e-01,-3.102177159635e-03,1.031028153330e-01
2826,-8.518024849811e+01,-5.408297953831e+00,3.316666666667e+01,2.981270664190e-01,-4.730853325124e+00,4.740237645052e+00
2827,-8.518024849811e+01,-5.408297953831e+00,3.383333333333e+01,4.624236888705e-01,-6.385450313923e+00,6.402172395336e+00
2828,-8.538842183126e+01,-5.730752469269e+00,3.350000000000e+01,3.565916554257e-01,-7.619373641600e+00,7.627713438445e+00
2829,-8.497207516497e+01,-5.085843438393e+00,3.350000000000e+01,6.448962336875e-01,-7.675967069046e+00,7.703009905051e+00
2830,-8.392724277623e+01,-6.711637533680e+00,3.366666666667e+01,-1.243931643752e-01,-9.495775501194e-02,1.564948388292e-01
2831,-8.236197705463e+01,-7.531295340372e+00,3.333333333333e+01,2.540002926821e-02,-7.711021875446e-02,8.118588130449e-02
2832,-8.176482320577e+01,-6.927987916345e+00,3.366666666667e+01,6.658215507170e-02,-8.988466155044e-02,1.118589994414e-01
2833,-8.331640585208e+01,-5.926302048510e+00,3.333333333333e+01,-7.686790145333e-02,-5.270251811214e-03,7.704836031995e-02
2834,-8.701402551212e+01,-9.508634388963e+00,3.350000000000e+01,2.436730623405e+00,-1.352816434075e+01,1.374586798137e+01
2835,-8.705173773014e+01,-8.886065937361e+00,3.350000000000e+01,1.971182433623e+00,-1.149465490254e+01,1.166244620631e+01
2836,-8.703288162113e+01,-9.197350163162e+00,3.383333333333e+01,1.993681150293e+00,-1.161454582796e+01,1.178441510296e+01
2837,-8.703288162113e+01,-9.197350163162e+00,3.316666666667e+01,1.794920679459e+00,-1.048737436250e+01,1.063986659995e+01
2838,-8.512412074716e+01,-9.550366220186e+00,3.366666666667e+01,-1.693049528811e-01,-1.739973017228e-01,2.427740267757e-01
